GEN;1;2;3;4;5;6;7;8;9;10;MEDIAN
0;0,61543;0,60541;0,41475;0,51404;0,53343;0,47757;0,5905;0,59416;0,61289;0,4961;0,561965
1;0,59985;0,57555;0,41475;0,38635;0,42835;0,47757;0,5905;0,49403;0,51623;0,4961;0,495065
2;0,40062;0,47978;0,4141;0,38635;0,42835;0,43085;0,37031;0,45438;0,48293;0,39799;0,421225
3;0,30927;0,47978;0,4141;0,38635;0,41973;0,43085;0,37031;0,45438;0,48293;0,39799;0,416915
4;0,30927;0,47306;0,4141;0,38635;0,41973;0,43085;0,37031;0,41293;0,48293;0,31115;0,413515
5;0,30927;0,46665;0,4141;0,38635;0,40401;0,41879;0,37031;0,41293;0,48293;0,23544;0,40847
6;0,30927;0,46665;0,19745;0,38635;0,40401;0,41879;0,37031;0,33371;0,48293;0,23544;0,37833
7;0,30927;0,46665;0,19745;0,38635;0,40017;0,40092;0,37031;0,33371;0,48293;0,17024;0,37833
8;0,30927;0,44683;0,19745;0,38635;0,40017;0,39952;0,37031;0,25659;0,48293;0,14202;0,37833
9;0,30927;0,4355;0,19745;0,38635;0,40017;0,39475;0,37031;0,25659;0,48293;0,14202;0,37833
10;0,30463;0,4355;0,19745;0,38635;0,37034;0,3273;0,37031;0,25659;0,48293;0,14202;0,348805
11;0,28975;0,4355;0,19745;0,38635;0,37034;0,3273;0,30629;0,24562;0,48293;0,14202;0,316795
12;0,28789;0,4355;0,14012;0,3659;0,37034;0,3273;0,30629;0,18483;0,48293;0,14202;0,316795
13;0,2367;0,4355;0,14012;0,35886;0,37034;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
14;0,2367;0,40342;0,14012;0,35886;0,37034;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
15;0,2367;0,40342;0,14012;0,35886;0,37034;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
16;0,21046;0,40342;0,14012;0,35886;0,3358;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
17;0,20918;0,40342;0,14012;0,35886;0,3358;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
18;0,20918;0,39189;0,14012;0,35886;0,32983;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
19;0,20918;0,37699;0,14012;0,35886;0,32983;0,3273;0,30629;0,12339;0,38846;0,14202;0,316795
20;0,20918;0,37699;0,14012;0,35886;0,32983;0,3273;0,30629;0,12339;0,38261;0,12615;0,316795
21;0,20918;0,37699;0,14012;0,35886;0,32983;0,3273;0,30629;0,12339;0,38261;0,12615;0,316795
22;0,20918;0,37699;0,14012;0,35886;0,32983;0,3273;0,30629;0,12339;0,38261;0,12373;0,316795
23;0,15907;0,37699;0,11387;0,35886;0,32983;0,3144;0,27292;0,12339;0,38261;0,11774;0,29366
24;0,15907;0,37699;0,11387;0,35886;0,32983;0,3144;0,27292;0,12339;0,38261;0,11774;0,29366
25;0,15907;0,37398;0,11387;0,35886;0,32983;0,30057;0,27292;0,12339;0,38261;0,11774;0,286745
26;0,15907;0,36141;0,11387;0,35886;0,32983;0,29893;0,27292;0,12339;0,38261;0,11774;0,285925
27;0,15907;0,35813;2,09E-05;0,35886;0,32983;0,29893;0,27292;0,11114;0,38261;0,11774;0,285925
28;0,15907;0,35813;2,09E-05;0,35886;0,32983;0,29323;0,26805;0,11114;0,3211;0,11774;0,28064
29;0,15907;0,22904;2,09E-05;0,35886;0,32983;0,25726;0,26363;0,11114;0,3211;0,11774;0,24315
30;0,14188;0,22904;2,09E-05;0,35886;0,32983;0,24206;0,24637;0,094488;0,3211;0,11494;0,23555
31;0,14188;0,22904;2,09E-05;0,35886;0,32983;0,22597;0,24438;0,094488;0,26043;0,11494;0,227505
32;0,13252;0,22904;2,09E-05;0,35886;0,32983;0,21628;0,21518;0,094488;0,19568;0,11494;0,20543
33;0,13252;0,22904;2,09E-05;0,35886;0,32983;0,21219;0,21518;0,094488;0,19552;0,11494;0,203855
34;0,13252;0,22904;2,09E-05;0,35886;0,32657;0,21219;0,21518;0,094488;0,19552;0,11494;0,203855
35;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,21219;0,21518;0,094488;0,19552;0,11494;0,203855
36;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,20349;0,21518;0,094488;0,19552;0,11309;0,199505
37;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,20054;0,21518;0,094488;0,19552;0,11309;0,19803
38;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,20054;0,21518;0,094488;0,19552;0,10914;0,19803
39;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,18306;0,21518;0,094488;0,19552;0,10914;0,18929
40;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,18041;0,21518;0,094488;0,19552;0,10914;0,187965
41;0,092227;0,22904;2,09E-05;0,35886;0,32657;0,18041;0,21518;0,094488;0,17954;0,10914;0,179975
42;0,092227;0,22904;2,09E-05;0,34607;0,32657;0,18041;0,21518;0,094488;0,17954;0,10914;0,179975
43;0,092227;0,22904;2,09E-05;0,34607;0,31858;0,18041;0,21518;0,094488;0,17954;0,10914;0,179975
44;0,092227;0,22904;2,09E-05;0,34607;0,31743;0,18041;0,21518;0,094488;0,17954;0,10914;0,179975
45;0,092227;0,22904;2,09E-05;0,34607;0,31743;0,18041;0,19328;0,094488;0,17954;0,10914;0,179975
46;0,092227;0,22904;2,09E-05;0,34607;0,31743;0,17997;0,19328;0,094488;0,17954;0,10914;0,179755
47;0,092227;0,22904;2,09E-05;0,34607;0,31114;0,17997;0,18781;0,094488;0,17954;0,10914;0,179755
48;0,092227;0,20139;2,09E-05;0,34607;0,30022;0,17997;0,18781;0,094488;0,17249;0,10914;0,17623
49;0,092227;0,20139;2,09E-05;0,34607;0,29326;0,17997;0,18781;0,094488;0,17249;0,10359;0,17623
